library,dpi,converting_time
pdf2mg,1,15.983651161193848
pdfium,1,12.641955137252808
pymupdf,1,9.124531030654907
pdf2mg,2,13.914512872695923
pdfium,2,13.394879341125488
pymupdf,2,7.2166221141815186
pdf2mg,3,14.961971759796143
pdfium,3,12.139608144760132
pymupdf,3,9.191975116729736
pdf2mg,4,14.003737926483154
pdfium,4,12.200177192687988
pymupdf,4,7.187358856201172
pdf2mg,5,14.116650104522705
pdfium,5,12.278769969940186
pymupdf,5,7.521677732467651
pdf2mg,6,15.611921787261963
pdfium,6,12.314225912094116
pymupdf,6,7.639638185501099
pdf2mg,7,17.798598051071167
pdfium,7,12.577175617218018
pymupdf,7,8.131164073944092
pdf2mg,8,15.063523769378662
pdfium,8,14.161277055740356
pymupdf,8,8.734004974365234
pdf2mg,9,15.952207088470459
pdfium,9,12.295139074325562
pymupdf,9,7.832357168197632
pdf2mg,10,16.53624391555786
pdfium,10,12.991767168045044
pymupdf,10,9.134181022644043
pdf2mg,20,16.377140045166016
pdfium,20,14.431273221969604
pymupdf,20,10.254706144332886
pdf2mg,30,20.048326015472412
pdfium,30,15.19864821434021
pymupdf,30,12.581692218780518
pdf2mg,40,24.88680076599121
pdfium,40,17.73715901374817
pymupdf,40,17.45273494720459
pdf2mg,50,32.46989321708679
pdfium,50,22.26630401611328
pymupdf,50,24.475727081298828
pdf2mg,100,114.11572194099426
pdfium,100,85.2510769367218
pymupdf,100,98.53649425506592
pdf2mg,150,249.79063320159912
pdfium,150,181.00695610046387
pymupdf,150,215.1743049621582
pdf2mg,200,442.782919883728
pdfium,200,328.8330249786377
pymupdf,200,397.5818176269531
pdf2mg,250,704.0522699356079
pdfium,250,533.6181190013885
pymupdf,250,635.5500390529633
pdf2mg,300,1021.7567570209503
pdfium,300,787.2387878894806
pymupdf,300,921.4111859798431
